isp_name;funnel_stage;funnel_notes
ACEHLINK MEDIA;F2;Sudah PoC, Permintaan penjadwalan JPS, pelanggan butuh kepastian kemungkinan untuk collocation NNI di NeuCentrIX Batam karena customer mempunyai sales plan IP Transit dari provider lain, kemungkinan untuk bundling dengan DWS, harga, metode pembayaran dan mekanisme sewa tiang
ACEHLINK MEDIA;F2;Menunggu SPH , harapan customer harga sewa tiang <10.000 /btg/tiang
NUANSA ONLINE MITRAKOM;F1;SPH done, customer masih kurang menunjukan ketertarikan dengan harga penawaran dan belum ada perkembangan selanjutnya
ACEH DIGITAL FENAM;F2;SPH done, request dan penjadwalan JPS
BINTANG ELEKTRONIK NETINDO;F1;SPH done, customer masih kurang menunjukan ketertarikan dengan harga penawaran dan belum ada perkembangan selanjutnya
ADAU PUTRA NETWORK;F0;Customer masih tahap perkenalan produk, akan diagendakan meeting lanjutan dengan ISP
AKBAR PRIMA MEDIA;F0;Customer masih tahap perkenalan produk, berencana jadi NAP, akan dilakukan meeting lanjutan terkait penawaran sewa tiang
ARAZ INTI LINE;F5;kontrak sudah di hari senin tanggal 5 Mei 2025
QUEEN NETWORK NUSANTARA;F1;
MEDIA ANTAR NUSA;F1;Menunggu jadwal POC dari customer
ARSA WORK INDONESIA;F1;Pelanggan kurang menunjukan ketertarikan terhadap SPH yang diberikan dan belum ada pengembangan selanjut nya 
LINTAS JARINGAN NUSANTARA;F1;POC done, tinggal menunggu pengiriman NDA dari TIF ke ISP LJN 
RUBYAN NETWORK SOLUTION;F1;FU terhadap pelanggan terkait opportunity pengambangan ISP 
RUBYAN NETWORK SOLUTION;F1;FU terhadap pelanggan terkait opportunity pengambangan ISP 
ARANA TEKNOLOGI INDONESIA;F0;Pelanggan masih tahap perkenalan product, dan mendengarkan insight dari pelanggan
ARGIZ MITRA TECHNOLOGY;F0;Pelanggan masih tahap perkenalan product, dan mendengarkan insight dari pelanggan
GLOBAL INAYAH ELEKTRINDO;F2;- sudah selesai POC, penawaran blm masuk, karena ISP maunya harga dibawah 120k. Sudah koordinasi ke AM HO (Mas Aga), bottom price sudah mentok di 120k dan tidak bisa turun lagi.
FIBER NETWORKS INDONESIA;F1;"- proses penjadwalan POC
- ada pertanyaan: jika komitmennya hanya untuk 5 atau 10 ssl dulu bagaimana?"
SRIWIJAYA INTERNET SERVICES;F1;done novasi dan setuju di novasi. mau lanjut JPS vula dan bitstream
KREATIF GLOBAL SOLUSINDO;F3;done JPS
ARTHA MEDIA LINTAS NUSA;F0;akan diagendakan meeting lanjutan dengan ISP
ATMEGA TELECOMINDO NUSANTARA;F0;- Penjadwalan meeting lanjutan dengan ISP di W1 Mei 2025
BAHAR MITRA NET;F0;akan diagendakan meeting lanjutan dengan ISP
